geo_code1,geo_code2,all,from_home,train,bus,car_driver,car_passenger,bicycle,foot,other
S02001616,S02001616,82,0,0,3,6,0,2,71,0
S02001616,S02001620,188,0,0,42,26,3,11,105,1
S02001616,S02001621,99,0,0,13,7,3,15,61,0
S02001616,S02001622,228,0,1,92,23,2,38,71,1
S02001616,S02001623,31,0,0,8,0,0,14,8,1
S02001616,S02001656,56,0,0,23,5,1,7,20,0
S02001616,S02001660,128,0,0,41,18,2,5,59,3
S02001620,S02001616,71,0,0,15,2,1,6,47,0
S02001620,S02001620,324,0,1,8,8,2,3,301,1
S02001620,S02001621,156,0,0,7,3,1,11,134,0
S02001620,S02001622,324,0,1,44,6,0,15,257,1
S02001620,S02001623,61,0,0,5,2,0,5,47,2
S02001620,S02001656,61,0,0,7,0,1,3,50,0
S02001620,S02001660,133,0,2,13,5,0,2,109,2
S02001621,S02001616,40,0,0,10,4,0,6,20,0
S02001621,S02001620,151,0,0,7,2,0,7,133,2
S02001621,S02001621,191,0,0,4,5,2,8,172,0
S02001621,S02001622,356,0,0,36,9,2,23,286,0
S02001621,S02001623,51,0,0,1,0,0,6,44,0
S02001621,S02001656,34,0,1,13,2,0,1,17,0
S02001621,S02001660,101,0,0,23,7,0,8,62,1
S02001622,S02001616,23,0,0,7,3,3,2,7,1
S02001622,S02001620,109,0,0,6,4,0,2,97,0
S02001622,S02001621,134,0,0,12,3,0,1,118,0
S02001622,S02001622,433,0,3,17,10,4,6,383,10
S02001622,S02001623,64,0,0,2,1,0,2,59,0
S02001622,S02001656,48,0,0,1,0,1,0,46,0
S02001622,S02001660,97,0,1,14,7,0,7,68,0
S02001623,S02001616,29,0,0,14,4,0,5,6,0
S02001623,S02001620,93,0,0,19,5,1,7,60,1
S02001623,S02001621,188,0,0,3,7,0,12,166,0
S02001623,S02001622,275,0,0,22,6,1,9,236,1
S02001623,S02001623,98,0,0,2,3,3,2,88,0
S02001623,S02001656,26,0,0,6,3,1,1,15,0
S02001623,S02001660,78,0,8,26,2,1,6,35,0
S02001656,S02001616,12,0,0,6,3,0,0,3,0
S02001656,S02001620,180,0,0,15,7,0,0,155,3
S02001656,S02001621,52,0,0,12,6,0,4,30,0
S02001656,S02001622,255,0,0,27,10,1,8,208,1
S02001656,S02001623,24,0,0,3,4,1,2,14,0
S02001656,S02001656,85,0,0,2,3,1,1,78,0
S02001656,S02001660,129,0,2,7,6,0,4,110,0
S02001660,S02001616,43,0,0,8,13,0,5,17,0
S02001660,S02001620,336,0,2,18,20,2,6,286,2
S02001660,S02001621,59,0,0,10,7,0,5,37,0
S02001660,S02001622,326,0,2,67,18,4,13,220,2
S02001660,S02001623,38,0,0,16,4,0,3,15,0
S02001660,S02001656,105,0,0,8,17,2,3,74,1
S02001660,S02001660,350,0,6,30,27,3,4,280,0
