origin,destination,walk,bike,other,car
S02001616,S02001616,232,8,70,0
S02001620,S02001616,87,3,26,223
S02001621,S02001616,80,3,24,250
S02001622,S02001616,64,2,19,348
S02001623,S02001616,52,2,15,464
S02001656,S02001616,62,2,19,366
S02001660,S02001616,77,3,23,266
S02001616,S02001620,7,0,2,17
S02001620,S02001620,18,1,5,0
S02001621,S02001620,9,0,3,10
S02001622,S02001620,9,0,3,11
S02001623,S02001620,5,0,2,26
S02001656,S02001620,9,0,3,11
S02001660,S02001620,9,0,3,10
S02001616,S02001621,51,2,15,158
S02001620,S02001621,73,2,22,84
S02001621,S02001621,147,5,44,0
S02001622,S02001621,73,2,22,85
S02001623,S02001621,55,2,17,141
S02001656,S02001621,56,2,17,138
S02001660,S02001621,49,2,15,169
S02001616,S02001622,0,0,0,2
S02001620,S02001622,1,0,0,1
S02001621,S02001622,1,0,0,1
S02001622,S02001622,1,0,0,0
S02001623,S02001622,1,0,0,1
S02001656,S02001622,1,0,0,1
S02001660,S02001622,0,0,0,1
S02001616,S02001623,2,0,1,18
S02001620,S02001623,3,0,1,13
S02001621,S02001623,3,0,1,9
S02001622,S02001623,3,0,1,9
S02001623,S02001623,9,0,3,0
S02001656,S02001623,3,0,1,13
S02001660,S02001623,2,0,1,18
